video_title,video_url,timestamp,channel,channel_url
Je hebt naar Cash is King in VIENNA #vienna #viennaguide #viennafood gekeken,https://www.youtube.com/watch?v=8qvfAkq1g2k,2024-05-10,Khyati & Puria,https://www.youtube.com/channel/UCCCquqiPBq-NrSy_ZggqQgA
Je hebt naar Nothing hits for lunch quite like the DIRE WOLF WRAP from Wolfnights in NYC! 🐺🌯🍗🧀🥓 #DEVOURPOWER gekeken,https://www.youtube.com/watch?v=5Ou7ZlXUfnM,2024-05-10,Devour Power TV,https://www.youtube.com/channel/UCAPpi1iWQFyW6V4ssQzZwHg
Je hebt naar IDF Soldier EXPOSES The Truth in Gaza #Israel Vid: Rudy Rochman & FactsForPeace gekeken,https://www.youtube.com/watch?v=ZQys2Y3baMo,2024-05-10,Living Lchaim,https://www.youtube.com/channel/UCJHk7NZyFnyphA_jfdK5rvA
Je hebt naar Triage is made simple by 30-Can Do - 2 gekeken,https://www.youtube.com/watch?v=TIrsY_EZl1w,2024-05-10,SkinnyMedic,https://www.youtube.com/channel/UCbhaasx1vaOf6jpYQ6FMoKw
Je hebt naar I never seen somebody work this fast at a fast food restaurant : gekeken,https://www.youtube.com/watch?v=5Rpv-18lFY8,2024-05-10,LilJanky WorldTV,https://www.youtube.com/channel/UC_HnDSkl06B96B75JhEAaYQ
Je hebt naar Are influencers taking it too far ? #toronto #food #torontofoodies #foodie #torontofood ￼ gekeken,https://www.youtube.com/watch?v=fX4KxanjamA,2024-05-10,Fredrick B,https://www.youtube.com/channel/UCXY3DLxfTIGkH9jW-hUTmAA
Je hebt naar Wingstop life hack 🤯 gekeken,https://www.youtube.com/watch?v=Qk0yAyWWCaE,2024-05-10,A&B Things,https://www.youtube.com/channel/UCAXEGk-l_ioBMvHa9_uHJjg
Je hebt naar Human drone📷📷 @coronboatmanvlog gekeken,https://www.youtube.com/watch?v=b06u-vdZSA4,2024-05-10,Coron Boatman Vlog,https://www.youtube.com/channel/UCxEdTQ8QInZ9uIQHFZcY02g
Je hebt naar Cheese + Bacon = ??? gekeken,https://www.youtube.com/watch?v=rDz_ehPEgzw,2024-05-10,Food Reacts,https://www.youtube.com/channel/UCQJgbd93X6iZ82GyHThlbXQ
Je hebt naar LIFE CHANGING horse pedicure 🐎💅 - (🎥: Sam Dracott Farrier) - #horse #farrier #asmr gekeken,https://www.youtube.com/watch?v=md6KRWkkN38,2024-05-10,Amazing Asmr,https://www.youtube.com/channel/UCALnK0UOlQdgq-IM-TMM4lw
Je hebt naar Something amazing was made in front of them 😯 gekeken,https://www.youtube.com/watch?v=Bv-fpLjsQDw,2024-05-10,Sean Dubs,https://www.youtube.com/channel/UCtYBd5XO-blJ6yQPwxQYB9w
Je hebt naar Bro was so confused 🤣 #shorts gekeken,https://www.youtube.com/watch?v=74zeFLPRNkQ,2024-05-10,House of Highlights,https://www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw
Je hebt naar How The Internet Changed A Homeless Mans Life 🥹❤️ gekeken,https://www.youtube.com/watch?v=us9U3neBxVU,2024-05-10,Peter Bond,https://www.youtube.com/channel/UClNFVci82c2THlpgDkuvyXA
Je hebt naar McDonald’s in California is CRAZY EXPENSIVE 💰 gekeken,https://www.youtube.com/watch?v=XXvyMh32UZU,2024-05-10,Santa Cruz Medicinals,https://www.youtube.com/channel/UC2gG-jfnsdWGvXO_tFyyg6A
Je hebt naar Salvaging just the sentimental diamond #remounting #heirloom #ring gekeken,https://www.youtube.com/watch?v=3qkFJF2RM-0,2024-05-10,Massoyan Jewelers,https://www.youtube.com/channel/UCX_kOlX9HLzihXlCkrZnmvA
Je hebt naar When #GordonRamsay Wants You To Scream At Him #hellskitchen gekeken,https://www.youtube.com/watch?v=d2J_O3NYSVU,2024-05-10,Hell's Kitchen,https://www.youtube.com/channel/UCt1fxPc6KaOeMxdhtUcEEEA
Je hebt naar Spending $420 on FOOD on 4/20 #shorts gekeken,https://www.youtube.com/watch?v=BriIgbvP_PM,2024-05-10,Matt Peterson,https://www.youtube.com/channel/UCQLJFXhxbl5SMfcGZSnURhQ
Je hebt naar Hans Zimmer - Time (Inception - Live in Prague) gekeken,https://www.youtube.com/watch?v=va1oiojnGrA,2024-05-10,KlayaR__,https://www.youtube.com/channel/UC7N7ojTSKAEMnyXz5sA_y9w
